Gene	Genome_A	Genome_B	Genome_C	Genome_D	Genome_E	Genome_F	Genome_G	Genome_H	Genome_I	Genome_J
core_gene_001	1	1	1	1	1	1	1	1	1	1
core_gene_002	1	1	1	1	1	1	1	1	1	1
core_gene_003	1	1	1	1	1	1	1	1	1	1
core_gene_004	1	1	1	1	1	1	1	1	1	1
core_gene_005	1	1	1	1	1	1	1	1	1	1
core_gene_006	1	1	1	1	1	1	1	1	1	1
core_gene_007	1	1	1	1	1	1	1	1	1	1
core_gene_008	1	1	1	1	1	1	1	1	1	1
core_gene_009	1	1	1	1	1	1	1	1	1	1
core_gene_010	1	1	1	1	1	1	1	1	1	1
shell_gene_011	1	1	1	0	1	1	0	1	0	1
shell_gene_012	1	0	1	1	1	0	1	1	1	0
shell_gene_013	0	1	1	1	0	1	1	0	1	1
shell_gene_014	1	1	0	1	1	1	0	1	1	0
shell_gene_015	1	0	1	0	1	1	1	0	1	1
shell_gene_016	0	1	0	1	1	0	1	1	0	1
shell_gene_017	1	1	1	0	0	1	1	1	0	1
shell_gene_018	0	1	1	1	1	1	0	0	1	1
shell_gene_019	1	0	0	1	1	1	1	1	1	0
shell_gene_020	1	1	0	0	1	0	1	1	1	1
unique_A_001	1	0	0	0	0	0	0	0	0	0
unique_A_002	1	0	0	0	0	0	0	0	0	0
unique_A_003	1	0	0	0	0	0	0	0	0	0
unique_B_001	0	1	0	0	0	0	0	0	0	0
unique_B_002	0	1	0	0	0	0	0	0	0	0
unique_B_003	0	1	0	0	0	0	0	0	0	0
unique_C_001	0	0	1	0	0	0	0	0	0	0
unique_C_002	0	0	1	0	0	0	0	0	0	0
unique_C_003	0	0	1	0	0	0	0	0	0	0
unique_D_001	0	0	0	1	0	0	0	0	0	0
unique_D_002	0	0	0	1	0	0	0	0	0	0
unique_D_003	0	0	0	1	0	0	0	0	0	0
unique_E_001	0	0	0	0	1	0	0	0	0	0
unique_E_002	0	0	0	0	1	0	0	0	0	0
unique_E_003	0	0	0	0	1	0	0	0	0	0
unique_F_001	0	0	0	0	0	1	0	0	0	0
unique_F_002	0	0	0	0	0	1	0	0	0	0
unique_F_003	0	0	0	0	0	1	0	0	0	0
unique_G_001	0	0	0	0	0	0	1	0	0	0
unique_G_002	0	0	0	0	0	0	1	0	0	0
unique_G_003	0	0	0	0	0	0	1	0	0	0
unique_H_001	0	0	0	0	0	0	0	1	0	0
unique_H_002	0	0	0	0	0	0	0	1	0	0
unique_H_003	0	0	0	0	0	0	0	1	0	0
unique_I_001	0	0	0	0	0	0	0	0	1	0
unique_I_002	0	0	0	0	0	0	0	0	1	0
unique_I_003	0	0	0	0	0	0	0	0	1	0
unique_J_001	0	0	0	0	0	0	0	0	0	1
unique_J_002	0	0	0	0	0	0	0	0	0	1
unique_J_003	0	0	0	0	0	0	0	0	0	1
